"","author","title","journal","year","volume","issue","bpage","epage","type"
"817","F Aparicio, A Escribano, AE Sipols","Range unit-root (RUR) tests: Robust against nonlinearities, error distributions, structural breaks and outliers","Journal of Time Series Analysis",2006,27,"4",545,576,"statistics"
"818","AE Noriega, D Ventosa-Santaularia","Spurious regression under broken-trend stationarity","Journal of Time Series Analysis",2006,27,"5",671,684,"statistics"
"819","RA Davis, TCM Lee, GA Rodriguez-Yam","Structural break estimation for nonstationary time series models","Journal of the American Statistical Association",2006,101,"473",223,239,"statistics"
"820","D Han, FG Tsung","A reference-free Cuscore chart for dynamic mean change detection and a unified framework for charting performance comparison","Journal of the American Statistical Association",2006,101,"473",368,386,"statistics"
"821","G Chiu, R Lockhart, R Routledge","Bent-cable regression theory and applications","Journal of the American Statistical Association",2006,101,"474",542,553,"statistics"
"822","M Huskova, SG Meintanis","Change point analysis based on empirical characteristic functions - Empirical characteristic functions","Metrika",2006,63,"2",145,168,"statistics"
"823","VK Jandhyala, SB Fotopoulos, DM Hawkins","On the inconsistency of the change-point estimator for the NE family","Metrika",2006,63,"3",309,315,"statistics"
"824","EL Grinols, R Perrelli","The WTO impact on international trade disputes: An event history analysis","Review of Economics and Statistics",2006,88,"4",613,624,"econometrics"
"825","F Osorio, M Galea","Detection of a change-point in student-t linear regression models","Statistical Papers",2006,47,"1",31,48,"statistics"
"826","G Bruno, E Otranto","The choice of time interval in seasonal adjustment: A heuristic approach","Statistical Papers",2006,47,"3",393,417,"statistics"
"827","M Rosolowski, W Schmid","EWNA charts for monitoring the mean and the autocovariances of stationary processes","Statistical Papers",2006,47,"4",595,630,"statistics"
"828","JF Dupuy","Estimation in a change-point hazard regression model","Statistics & Probability Letters",2006,76,"2",182,190,"statistics"
"829","HG Muller, N Wai","Asymptotic fluctuations of mutagrams","Statistics & Probability Letters",2006,76,"12",1201,1210,"statistics"
"830","S Cook","Testing for cointegration in the presence of mis-specified structural change","Statistics & Probability Letters",2006,76,"13",1380,1384,"statistics"
"831","M Brown, S Zacks","A note on optimal stopping for possible change in the intensity of an ordinary Poisson process","Statistics & Probability Letters",2006,76,"13",1417,1425,"statistics"
"832","YJ Mei","Sequential change-point detection when unknown parameters are present in the pre-change distribution","The Annals of Statistics",2006,34,"1",92,122,"statistics"
"833","A Goldenshluger, A Tsybakov, A Zeevi","Optimal change-point estimation from indirect observations","The Annals of Statistics",2006,34,"1",350,372,"statistics"
"834","I Berkes, L Horvath, P Kokoszka, QM Shao","On discriminating between long-range dependence and changes in mean","The Annals of Statistics",2006,34,"3",1140,1165,"statistics"
"835","A Goldenshluger, A Zeevi","Recovering convex boundaries from blurred and noisy observations","The Annals of Statistics",2006,34,"3",1375,1394,"statistics"
